lnk_product_purchase_key,hub_product_key,hub_purchase_key,lnk_load_dts,lnk_rec_src
c541a51fe68e3ed85477c8d44ef2fb96,f016e59c7ad8b1d72903bb1aa5720d53,c4ca4238a0b923820dcc509a6f75849b,2023-10-18,2557911c1bf75c2b643afb4ecbfc8ec2
e7fb4463802e54aa696d0297fa954b2b,faacbcd5bf1d018912c116bf2783e9a1,c4ca4238a0b923820dcc509a6f75849b,2023-10-18,64ff7983a47d331b13a81156e2f4d29d
9a3e0d930a0ca8c622c98502d582f05d,d305281faf947ca7acade9ad5c8c818c,c81e728d9d4c2f636f067f89cc14862c,2023-10-18,4e87337f366f72daa424dae11df0538c
67c8785ddb95134616afbca259ce479a,766d856ef1a6b02f93d894415e6bfa0e,c81e728d9d4c2f636f067f89cc14862c,2023-10-18,243f6a5292350cc163601aac9ad3e854
31638ab542608ddc7d22ad3980d170c7,194cf6c2de8e00c05fcf16c498adc7bf,c81e728d9d4c2f636f067f89cc14862c,2023-10-18,a883bbca3f8bc8814ff676cb0e91829a
940616dd6efc16f29ce2b999a4e2c001,28fc2782ea7ef51c1104ccf7b9bea13d,c81e728d9d4c2f636f067f89cc14862c,2023-10-18,90599c8fdd2f6e7a03ad173e2f535751
a9b63b0e9773833e8ccfc541a731e17c,f4573fc71c731d5c362f0d7860945b88,eccbc87e4b5ce2fe28308fd9f2a7baf3,2023-10-18,22d0c530efd7037118d2011a68444823
1c57920df59cab79f8b04449459dfb41,83fa5a432ae55c253d0e60dbfa716723,eccbc87e4b5ce2fe28308fd9f2a7baf3,2023-10-18,3e89ebdb49f712c7d90d1b39e348bbbf
611a1d43ed67e898a2aec0988b109fa5,b432f34c5a997c8e7c806a895ecc5e25,eccbc87e4b5ce2fe28308fd9f2a7baf3,2023-10-18,31c23973a376c90940f5f5ff2118b5d2
1bd985134216d82ddf65ff3557150073,b2f627fff19fda463cb386442eac2b3d,eccbc87e4b5ce2fe28308fd9f2a7baf3,2023-10-18,325995af77a0e8b06d1204a171010b3a
d8f70b4357a9e0fbade3270b5ddbe106,519c84155964659375821f7ca576f095,a87ff679a2f3e71d9181a67b7542122c,2023-10-18,35bf98501edec1431e0c2fabe948da66
e147d331decc29b7094268c3358ed18c,29921001f2f04bd3baee84a12e98098f,a87ff679a2f3e71d9181a67b7542122c,2023-10-18,18997733ec258a9fcaf239cc55d53363
e35b8ba452ceeba8720a6d4ecf36e905,a5771bce93e200c36f7cd9dfd0e5deaa,a87ff679a2f3e71d9181a67b7542122c,2023-10-18,d800149d2f947ad4d64f34668f8b20f6
acafb1eca5e344d3f11a1cd2873ebb9b,ea5a486c712a91e48443cd802642223d,a87ff679a2f3e71d9181a67b7542122c,2023-10-18,372d3f309fef061977fb2f7ba36d74d2
