lnk_product_purchase_key,product_count,product_price,sat_load_dts,sat_rec_src
c541a51fe68e3ed85477c8d44ef2fb96,6,4,2023-10-18,2557911c1bf75c2b643afb4ecbfc8ec2
e7fb4463802e54aa696d0297fa954b2b,2,4,2023-10-18,64ff7983a47d331b13a81156e2f4d29d
9a3e0d930a0ca8c622c98502d582f05d,1,4,2023-10-18,4e87337f366f72daa424dae11df0538c
67c8785ddb95134616afbca259ce479a,2,4,2023-10-18,243f6a5292350cc163601aac9ad3e854
31638ab542608ddc7d22ad3980d170c7,8,4,2023-10-18,a883bbca3f8bc8814ff676cb0e91829a
940616dd6efc16f29ce2b999a4e2c001,9,4,2023-10-18,90599c8fdd2f6e7a03ad173e2f535751
a9b63b0e9773833e8ccfc541a731e17c,2,4,2023-10-18,22d0c530efd7037118d2011a68444823
1c57920df59cab79f8b04449459dfb41,7,4,2023-10-18,3e89ebdb49f712c7d90d1b39e348bbbf
611a1d43ed67e898a2aec0988b109fa5,2,4,2023-10-18,31c23973a376c90940f5f5ff2118b5d2
1bd985134216d82ddf65ff3557150073,4,4,2023-10-18,325995af77a0e8b06d1204a171010b3a
d8f70b4357a9e0fbade3270b5ddbe106,9,4,2023-10-18,35bf98501edec1431e0c2fabe948da66
e147d331decc29b7094268c3358ed18c,9,4,2023-10-18,18997733ec258a9fcaf239cc55d53363
e35b8ba452ceeba8720a6d4ecf36e905,4,4,2023-10-18,d800149d2f947ad4d64f34668f8b20f6
acafb1eca5e344d3f11a1cd2873ebb9b,9,4,2023-10-18,372d3f309fef061977fb2f7ba36d74d2
0993c02254b8c5464efb0b5aac17da4a,2,4,2023-10-19,71f07bf95f0113eefab12552181dd832
a081f76a4fcd9a0b55ace646d2acf6e2,2,4,2023-10-19,f6c9dc70ecfd8f90ba8598aa2401cd1a
04bab03f4e51a09d23279eafe47b976a,2,4,2023-10-19,3eb71f6293a2a31f3569e10af6552658
2ddc3f869c7226d175d3d094912dd926,1,4,2023-10-19,85690f81aadc1749175c187784afc9ee
d236c70ed04ea71ba39c5ca0f468464f,8,4,2023-10-19,0b5e29aa1acf8bdc5d8935d7036fa4f5
10d75ef4a0f654f2e4817b01a3d1a725,3,4,2023-10-19,a284df1155ec3e67286080500df36a9a
ed73bdf58e015cda79f3a64fea439bde,8,4,2023-10-19,4734ba6f3de83d861c3176a6273cac6d
99189b82c674fd21006ee01648775507,6,4,2023-10-19,8ce8ac3252f7a8981a64d5a473e48ea0
83054e4a92e0d53dcf4e31cde5e63781,2,4,2023-10-19,d91d1b4d82419de8a614abce9cc0e6d4
0a5fc9400dde9d689d6c921c96e059ba,3,4,2023-10-19,b0ba5c44aaf65f6ca34cf116e6d82ebf
a0438ac2b0ffd5f0a7910fe68313fd9e,7,4,2023-10-19,673de96b04fa3adcae1aacda704217ef
17b93f73796090400b88065c908bc498,8,4,2023-10-19,1b69ebedb522700034547abc5652ffac
8a90b95dc823250fc20f012c95970401,3,4,2023-10-19,c182f930a06317057d31c73bb2fedd4f
70b9ea85a94de847edc4aa048f5b7713,4,4,2023-10-19,0678ce3f8562ed9841f71ef92f6cb09a
651852ebb78cec90f73aeaf792fcde96,4,4,2023-10-19,c60d870eaad6a3946ab3e8734466e532
b391fb0f05addc6474c75b4ff25e3cd9,4,4,2023-10-19,6f611188ad4a81ffc2edab83b0705d76
348f15856e8eb8e071c04ad2f6d2dc6a,1,4,2023-10-19,d0353558f3ae8b91febe82f5a735bb06
b363e06da68d7bf6d05569b643564fee,7,4,2023-10-19,f3957fa3bea9138b3f54f0e18975a30c
3bfbe82e7b8fd98f6451280171806d2d,5,4,2023-10-19,a088ea2078cd92b0b8a0e78a32c5c082
b0bcb00f8cdd65024f8b1f249ad7d57c,4,4,2023-10-19,376d41c34fac1e911e7e197b6a28270e
5bfca3951453b31192cd6dd932111ae5,1,4,2023-10-19,496bd33584d955e3913f1a3e82bb2f2d
9697e02bb1f9805adbd4ec116f5f53f9,2,4,2023-10-19,8a9c8ac001d3ef9e4ce39b1177295e03
50722d6100611f43b0bb19e5e753dcd2,6,4,2023-10-19,ba7e36c43aff315c00ec2b8625e3b719
983c5a7c312ac9e954067c16f99a821d,6,4,2023-10-19,f47bcedcc5bff372aaddbe08ed8a6b52
1e84eb9913e3232efe27918e6f165670,1,4,2023-10-19,05edf455cb266ccb3ea3ac2715f87326
f67eb2942b4ab70077777e31cd71d693,3,4,2023-10-19,5103c3584b063c431bd1268e9b5e76fb
6fcc4604fca953ad3399aa3735ccec1c,7,4,2023-10-19,9efb1a59d7b58e69996cf0e32cb71098
bda3a5274488621605a6c603af00e3da,5,4,2023-10-19,0084ae4bc24c0795d1e6a4f58444d39b
e4b7b1b9a5d3475a6214e4ae198b1159,1,4,2023-10-19,f8e918489f1e0a81ff11312f4d0630c1
