hub_customer_key,customer_id,hub_load_dts,hub_rec_src
c4ca4238a0b923820dcc509a6f75849b,1,2023-08-04,tpanggos3ichwciast
c81e728d9d4c2f636f067f89cc14862c,2,2023-08-05,tpanggos3ichwciast
eccbc87e4b5ce2fe28308fd9f2a7baf3,3,2023-08-05,tpanggos3ichwciast
a87ff679a2f3e71d9181a67b7542122c,4,2023-08-05,tpanggos3ichwciast
e4da3b7fbbce2345d7772b0674a318d5,5,2023-08-05,tpanggos3ichwciast
1679091c5a880faf6fb5e6087eb1b2dc,6,2023-08-05,tpanggos3ichwciast
8f14e45fceea167a5a36dedd4bea2543,7,2023-08-05,tpanggos3ichwciast
c9f0f895fb98ab9159f51fd0297e236d,8,2023-08-05,tpanggos3ichwciast
45c48cce2e2d7fbdea1afc51c7c6ad26,9,2023-08-05,tpanggos3ichwciast
d3d9446802a44259755d38e6d163e820,10,2023-08-05,tpanggos3ichwciast
6512bd43d9caa6e02c990b0a82652dca,11,2023-08-05,tpanggos3ichwciast
c20ad4d76fe97759aa27a0c99bff6710,12,2023-08-05,tpanggos3ichwciast
c51ce410c124a10e0db5e4b97fc2af39,13,2023-08-05,tpanggos3ichwciast
aab3238922bcc25a6f606eb525ffdc56,14,2023-08-05,tpanggos3ichwciast
9bf31c7ff062936a96d3c8bd1f8f2ff3,15,2023-08-06,tpanggos3ichwciast
c74d97b01eae257e44aa9d5bade97baf,16,2023-08-06,tpanggos3ichwciast
70efdf2ec9b086079795c442636b55fb,17,2023-08-06,tpanggos3ichwciast
6f4922f45568161a8cdf4ad2299f6d23,18,2023-08-06,tpanggos3ichwciast
1f0e3dad99908345f7439f8ffabdffc4,19,2023-08-06,tpanggos3ichwciast
98f13708210194c475687be6106a3b84,20,2023-08-06,tpanggos3ichwciast
3c59dc048e8850243be8079a5c74d079,21,2023-08-06,tpanggos3ichwciast
b6d767d2f8ed5d21a44b0e5886680cb9,22,2023-08-06,tpanggos3ichwciast
